assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1329211,171636,Arion intermedius,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ARIONIDAE,Arion,intermedius,,,,"Normand, 1852",Least Concern,,3.1,Stable,Global & Europe
1329295,171642,Euconulus trochiformis,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,EUCONULIDAE,Euconulus,trochiformis,,,,"(Montagu, 1803)",Least Concern,,3.1,Unknown,Global & Europe
1329435,171652,Limax cinereoniger,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,LIMACIDAE,Limax,cinereoniger,,,,"Wolf, 1803",Least Concern,,3.1,Stable,Global & Europe
1330560,171730,Balea perversa,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Balea,perversa,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global & Europe
1331136,171764,Lehmannia valentiana,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,LIMACIDAE,Lehmannia,valentiana,,,,"(Férussac, 1822)",Least Concern,,3.1,Stable,Global & Europe
1420606,175246,Schoenoplectus tabernaemontani,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectus,tabernaemontani,,,,(C.C.Gmel.) Palla,Least Concern,,3.1,Stable,Global
1423029,175559,Persicaria maculosa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,maculosa,,,,Gray,Least Concern,,3.1,Unknown,Global
1425064,176050,Opisthoteuthis calypso,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,OPISTHOTEUTHIDAE,Opisthoteuthis,calypso,,,,"Villanueva, Collins, Sanchez &amp; Voss, 2002",Vulnerable,A2d,3.1,Unknown,Global
1429075,176091,Vicia sepium,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,sepium,,,,L.,Least Concern,,3.1,Stable,Global
1429747,176095,Vicia narbonensis,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,narbonensis,,,,L.,Least Concern,,3.1,Stable,Global
1430281,176097,Vicia sativa,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,sativa,,,,L.,Least Concern,,3.1,Stable,Global
1431472,176104,Vicia lutea,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,lutea,,,,L.,Least Concern,,3.1,Stable,Global
1432457,176111,Vicia bithynica,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,bithynica,,,,L.,Least Concern,,3.1,Stable,Global
1432918,176113,Vicia lathyroides,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vicia,lathyroides,,,,L.,Least Concern,,3.1,Stable,Global
1602187,180223,Parastichopus tremulus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Parastichopus,tremulus,,,,"(Gunnerus, 1767)",Data Deficient,,3.1,Unknown,Global
1609169,180273,Paelopatides grisea,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Paelopatides,grisea,,,,"R. Perrier, 1902",Data Deficient,,3.1,Unknown,Global
1609692,180276,Mesothuria verrilli,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Mesothuria,verrilli,,,,"(Théel, 1886)",Data Deficient,,3.1,Unknown,Global
1612286,180297,Holothuria forskali,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,forskali,,,,"Delle Chiaje, 1823",Least Concern,,3.1,Unknown,Global
1612492,180298,Parastichopus regalis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Parastichopus,regalis,,,,"(Cuvier, 1817)",Least Concern,,3.1,Unknown,Global
1613753,180312,Bathyplotes tizardi,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Bathyplotes,tizardi,,,,"(Théel, 1882)",Data Deficient,,3.1,Unknown,Global
1618480,180350,Paroriza pallens,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Paroriza,pallens,,,,"(Koehler, 1896)",Data Deficient,,3.1,Unknown,Global
1631154,180441,Molpadiodemas villosus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Molpadiodemas,villosus,,,,"(Théel, 1886)",Least Concern,,3.1,Unknown,Global
1632895,180455,Holothuria tubulosa,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,tubulosa,,,,"Gmelin, 1790",Least Concern,,3.1,Unknown,Global
1634144,180468,Mesothuria lactea,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Mesothuria,lactea,,,,"(Théel, 1886)",Least Concern,,3.1,Unknown,Global
1645284,180540,Mesothuria intestinalis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,SYNALLACTIDAE,Mesothuria,intestinalis,,,,"(Ascanius, 1805)",Least Concern,,3.1,Unknown,Global
1768546,185126,Blennius ocellaris,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,BLENNIIDAE,Blennius,ocellaris,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
1771952,185146,Tripterygion delaisi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,TRIPTERYGIIDAE,Tripterygion,delaisi,,,,"Cadenat &amp; Blache, 1970",Least Concern,,3.1,Stable,Global
1774973,185165,Coryphoblennius galerita,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,BLENNIIDAE,Coryphoblennius,galerita,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
1777432,185180,Lipophrys pholis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,BLENNIIDAE,Lipophrys,pholis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
1777936,185182,Dactylopterus volitans,ANIMALIA,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,DACTYLOPTERIDAE,Dactylopterus,volitans,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
1933073,189692,Menetus dilatatus,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Menetus,dilatatus,,,,"(Gould, 1841)",Least Concern,,3.1,Stable,Global
1946231,190255,Cookeolus japonicus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,PRIACANTHIDAE,Cookeolus,japonicus,,,,"(Cuvier, 1829)",Least Concern,,3.1,Unknown,Global
1947540,190315,Serrivomer beanii,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,SERRIVOMERIDAE,Serrivomer,beanii,,,,"Gill &amp; Ryder, 1883",Least Concern,,3.1,Unknown,Global
1948654,190347,Zenopsis conchifer,ANIMALIA,CHORDATA,ZEIFORMES,ACTINOPTERYGII,ZEIDAE,Zenopsis,conchifer,,,,"(Lowe, 1852)",Least Concern,,3.1,Stable,Global
1948674,190350,Avocettina infans,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,NEMICHTHYIDAE,Avocettina,infans,,,,"(Günther, 1878)",Least Concern,,3.1,Unknown,Global
1950722,190403,Polyacanthonotus challengeri,ANIMALIA,CHORDATA,NOTACANTHIFORMES,ACTINOPTERYGII,NOTACANTHIDAE,Polyacanthonotus,challengeri,,,,"(Vaillant, 1888)",Least Concern,,3.1,Unknown,Global
1951675,190431,Nettastoma melanurum,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,NETTASTOMATIDAE,Nettastoma,melanurum,,,,"Rafinesque, 1810",Least Concern,,3.1,Unknown,Global
1961958,190946,Loligo vulgaris,ANIMALIA,MOLLUSCA,MYOPSIDA,CEPHALOPODA,LOLIGINIDAE,Loligo,vulgaris,,,,"Lamarck, 1798",Data Deficient,,3.1,Unknown,Global
2241515,193523,Acer campestre,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,campestre,,,,L.,Least Concern,,3.1,Stable,Global
2286184,193853,Acer platanoides,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,platanoides,,,,L.,Least Concern,,3.1,Unknown,Global
2286517,193856,Acer pseudoplatanus,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,pseudoplatanus,,,,L.,Least Concern,,3.1,Unknown,Global
2289975,193896,Magnolia acuminata,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,acuminata,,,,(L.) L.,Least Concern,,3.1,Stable,Global
2303017,194178,Quercus ithaburensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,ithaburensis,,,,Decne.,Least Concern,,3.1,Decreasing,Global
2308255,194274,Carpinus betulus,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,BETULACEAE,Carpinus,betulus,,,,L.,Least Concern,,3.1,Stable,Global
2341542,194495,Betula nana,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,BETULACEAE,Betula,nana,,,,L.,Least Concern,,3.1,Stable,Global
2369649,194969,Conger conger,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,Conger,conger,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
2370347,194974,Muraena helena,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,MURAENIDAE,Muraena,helena,,,,"Linnaeus, 1758",Least Concern,,3.1,Unknown,Global
2425949,195840,Halosauropsis macrochir,ANIMALIA,CHORDATA,NOTACANTHIFORMES,ACTINOPTERYGII,HALOSAURIDAE,Halosauropsis,macrochir,,,,"(Günther, 1878)",Least Concern,,3.1,Unknown,Global
2427458,195852,Notacanthus chemnitzii,ANIMALIA,CHORDATA,NOTACANTHIFORMES,ACTINOPTERYGII,NOTACANTHIDAE,Notacanthus,chemnitzii,,,,"Bloch, 1788",Least Concern,,3.1,Unknown,Global
2554448,199057,Ilyophis blachei,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,SYNAPHOBRANCHIDAE,Ilyophis,blachei,,,,"Saldanha &amp; Merrett, 1982",Least Concern,,3.1,Unknown,Global
2555436,199068,Ilyophis brunneus,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,SYNAPHOBRANCHIDAE,Ilyophis,brunneus,,,,"Gilbert, 1891",Least Concern,,3.1,Unknown,Global
2573848,199242,Ilyophis arx,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,SYNAPHOBRANCHIDAE,Ilyophis,arx,,,,"Robins, 1976",Least Concern,,3.1,Unknown,Global
2574612,199249,Histiobranchus bathybius,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,SYNAPHOBRANCHIDAE,Histiobranchus,bathybius,,,,"(Günther, 1877)",Data Deficient,,3.1,Unknown,Global
2757961,202910,Achillea ptarmica,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Achillea,ptarmica,,,,L.,Least Concern,,3.1,Unknown,Global & Europe
2758015,202919,Alchemilla xanthochlora,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ROSACEAE,Alchemilla,xanthochlora,,,,Rothm.,Least Concern,,3.1,Unknown,Global & Europe
2758213,202952,Chamaemelum nobile,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Chamaemelum,nobile,,,,(L.) All.,Least Concern,,3.1,Decreasing,Global & Europe
2758321,202970,Pulmonaria officinalis,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,BORAGINACEAE,Pulmonaria,officinalis,,,,L.,Least Concern,,3.1,Stable,Global & Europe
2758363,202977,Colchicum autumnale,PLANTAE,TRACHEOPHYTA,LILIALES,LILIOPSIDA,COLCHICACEAE,Colchicum,autumnale,,,,L.,Least Concern,,3.1,Stable,Global & Europe
2758531,203006,Erica cinerea,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,ERICACEAE,Erica,cinerea,,,,L.,Least Concern,,3.1,Decreasing,Global & Europe
2762520,203239,Galeopsis segetum,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Galeopsis,segetum,,,,"Neck., Hist. &amp; Commentat.",Data Deficient,,3.1,Decreasing,Global & Europe
2762648,203260,Salvia officinalis,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Salvia,officinalis,,,,L.,Least Concern,,3.1,Stable,Global & Europe
2764289,203348,Thymus vulgaris,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Thymus,vulgaris,,,,L.,Least Concern,,3.1,Unknown,Global & Europe
2764845,203391,Polygala calcarea,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,POLYGALACEAE,Polygala,calcarea,,,,F.W.Schultz,Least Concern,,3.1,Stable,Global & Europe
2765980,203468,Salix daphnoides,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Salix,daphnoides,,,,Vill.,Least Concern,,3.1,Unknown,Global & Europe
2791303,29650,Erinaceus europaeus,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,ERINACEIDAE,Erinaceus,europaeus,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global & Europe
2897883,162293947,Centrophorus granulosus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,CENTROPHORIDAE,Centrophorus,granulosus,,,,"(Bloch &amp; Schneider, 1801)",Endangered,A2bd,3.1,Decreasing,Global
2903170,39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,"Rafinesque, 1810",Endangered,A2bd,3.1,Decreasing,Global
2907336,39352,Galeorhinus galeus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,TRIAKIDAE,Galeorhinus,galeus,,,,"(Linnaeus, 1758)",Critically Endangered,A2bd,3.1,Decreasing,Global
2913541,39378,Galeocerdo cuvier,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Galeocerdo,cuvier,,,,"(Péron &amp; Lesueur, 1822)",Near Threatened,A2bd+3d,3.1,Decreasing,Global
2915850,39381,Prionace glauca,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Prionace,glauca,,,,"(Linnaeus, 1758)",Near Threatened,A2bd,3.1,Decreasing,Global
2921825,39388,Sphyrna zygaena,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,zygaena,,,,"(Linnaeus, 1758)",Vulnerable,A2bd,3.1,Decreasing,Global
2956075,41801,Echinorhinus brucus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,ECHINORHINIDAE,Echinorhinus,brucus,,,,"(Bonnaterre, 1788)",Endangered,A2bd,3.1,Decreasing,Global
2956343,41823,Heptranchias perlo,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Heptranchias,perlo,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
2963096,42229,Juniperus communis,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Juniperus,communis,,,,L.,Least Concern,,3.1,Increasing,Global
2978732,42418,Pinus sylvestris,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PINACEAE,Pinus,sylvestris,,,,L.,Least Concern,,3.1,Stable,Global
3066881,110466172,Xenopus laevis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PIPIDAE,Xenopus,laevis,,,,"(Daudin, 1802)",Least Concern,,3.1,Increasing,Global
3088899,60140,Harriotta raleighana,ANIMALIA,CHORDATA,CHIMAERIFORMES,CHONDRICHTHYES,RHINOCHIMAERIDAE,Harriotta,raleighana,,,,"Goode &amp; Bean, 1895",Least Concern,,3.1,Stable,Global
3093577,60215,Zameus squamulosus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SOMNIOSIDAE,Zameus,squamulosus,,,,"(Günther, 1877)",Least Concern,,3.1,Stable,Global
3100119,60444,Poecilia reticulata,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Poecilia,reticulata,,,,"Peters, 1859",Least Concern,,3.1,Stable,Global
3102796,61295,Ctenopharyngodon idella,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,XENOCYPRIDIDAE,Ctenopharyngodon,idella,,,,"(Valenciennes in Cuvier &amp; Valenciennes, 1844)",Least Concern,,3.1,Unknown,Global
3111662,6229,Dalatias licha,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,DALATIIDAE,Dalatias,licha,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd+3d,3.1,Decreasing,Global
3115662,62535,Betula pendula,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,BETULACEAE,Betula,pendula,,,,Roth,Least Concern,,3.1,Stable,Global
3116237,62539,Quercus petraea,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,petraea,,,,(Matt.) Liebl.,Least Concern,,3.1,Unknown,Global
3125479,63517,Alnus glutinosa,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,BETULACEAE,Alnus,glutinosa,,,,(L.) Gaertn.,Least Concern,,3.1,Stable,Global
3125935,63521,Corylus avellana,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,BETULACEAE,Corylus,avellana,,,,L.,Least Concern,,3.1,Stable,Global
3126467,63532,Quercus robur,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,robur,,,,L.,Least Concern,,3.1,Decreasing,Global
3347854,12433,Lycaena dispar,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Lycaena,dispar,,,,"(Haworth, 1802)",Lower Risk/near threatened,,2.3,,Global
3371159,12659,Phengaris arion,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Phengaris,arion,,,,"(Linnaeus, 1758)",Lower Risk/near threatened,,2.3,,Global
3390729,1285,Anergates atratulus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Anergates,atratulus,,,,"(Schenck, 1852)",Vulnerable,D2,2.3,,Global
3406968,13045,Melanogrammus aeglefinus,ANIMALIA,CHORDATA,GADIFORMES,ACTINOPTERYGII,GADIDAE,Melanogrammus,aeglefinus,,,,"(Linnaeus, 1758)",Vulnerable,A1d+2d,2.3,,Global
4125867,135412,Salvelinus gracillimus,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Salvelinus,gracillimus,,,,"Regan, 1909",Vulnerable,D2,3.1,Unknown,Global & Europe
4126003,135413,Salvelinus grayi,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Salvelinus,grayi,,,,"(Günther, 1862)",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global & Europe
4126169,135414,Salvelinus inframundus,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Salvelinus,inframundus,,,,"Regan, 1909",Data Deficient,,3.1,Unknown,Global & Europe
